mode,guidance_scale,negative_prompt,future_latent_slots,sigma_start,denoise_steps,sigma_schedule,target_latent_idx,target_latent_end,prev_latent_baseline_cos,prev_sequence_baseline_cos,initial_noise_cos,initial_noise_sequence_cos,latent_cos_pred_x0,latent_mse_pred_x0,latent_cos_x_final,latent_mse_x_final,sequence_cos_pred_x0,sequence_mse_pred_x0,sequence_cos_x_final,sequence_mse_x_final,cos_x_final_vs_baseline_diff,cos_pred_x0_vs_baseline_diff,sequence_cos_x_final_vs_baseline_diff,sequence_cos_pred_x0_vs_baseline_diff,hidden_cos
A1_causal,1.0,,10,0.8,3,0.8 0.1803376 0.027107146 0.002,2,12,0.8892831206321716,0.8065261840820312,-1.4981022104620934e-05,7.080379873514175e-05,0.0873921811580658,0.6182924509048462,0.08703586459159851,0.6184018850326538,0.013035546988248825,0.6832100749015808,0.012953970581293106,0.6832655072212219,-0.8022472560405731,-0.8018909394741058,-0.7935722135007381,-0.7934906370937824,0.8691794872283936
A1_causal,1.0,,10,0.8,5,0.8 0.3401087 0.12833713 0.041349901 0.010699258 0.002,2,12,0.8892831206321716,0.8065261840820312,-0.0001948322169482708,0.00020311260595917702,0.06816671788692474,0.6307443380355835,0.06803237646818161,0.630805253982544,0.0070045883767306805,0.6932563781738281,0.00708417734131217,0.6932639479637146,-0.82125074416399,-0.8211164027452469,-0.7994420067407191,-0.7995215957053006,0.9338886737823486
A1_causal,1.0,,10,0.8,10,0.8 0.52847472 0.3401087 0.2124934 0.12833713 0.074533362 0.041349901 0.021730302 0.010699258 0.0048635222 0.002,2,12,0.8892831206321716,0.8065261840820312,-0.0010604026028886437,8.663121843710542e-05,0.0563054084777832,0.639212429523468,0.05623692274093628,0.6392514705657959,0.00342211639508605,0.701809287071228,0.0035161380656063557,0.7018027901649475,-0.8330461978912354,-0.8329777121543884,-0.8030100460164249,-0.8031040676869452,0.9347208738327026
A1_causal,1.0,,10,1.0,3,1 0.21688892 0.030609557 0.002,2,12,0.8892831206321716,0.8065261840820312,0.00035180384293198586,-0.00020981815760023892,0.09785694628953934,0.6172729134559631,0.09751573204994202,0.6173833608627319,0.010691757313907146,0.6873387098312378,0.01062038168311119,0.6873956322669983,-0.7917673885822296,-0.7914261743426323,-0.7959058023989201,-0.7958344267681241,0.8609005808830261
A1_causal,1.0,,10,1.0,5,1 0.41625082 0.15280411 0.047427303 0.011630898 0.002,2,12,0.8892831206321716,0.8065261840820312,-0.0013578081270679832,-0.0005560452118515968,0.06598220765590668,0.6373050808906555,0.06586099416017532,0.6373677849769592,0.006028002593666315,0.700263261795044,0.006103205028921366,0.7002726197242737,-0.8234221264719963,-0.823300912976265,-0.8004229790531099,-0.8004981814883649,0.9327731132507324
A1_causal,1.0,,10,1.0,10,1 0.65408052 0.41625082 0.25675965 0.15280411 0.087233805 0.047427303 0.02432853 0.011630898 0.005096774 0.002,2,12,0.8892831206321716,0.8065261840820312,0.00295394379645586,-0.0008148304768837988,0.06932628899812698,0.6464230418205261,0.06927824020385742,0.6464571952819824,0.0011939825490117073,0.7139012813568115,0.001277516596019268,0.7138935327529907,-0.8200048804283142,-0.8199568316340446,-0.805248667486012,-0.8053322015330195,0.9304190278053284
A1_causal,1.0,,10,2.0,3,2 0.38721939 0.045149488 0.002,2,12,0.8892831206321716,0.8065261840820312,0.0018233630107715726,0.0008129915222525597,0.1153971403837204,0.6252701282501221,0.11515457183122635,0.6253783106803894,0.022661995142698288,0.7038447856903076,0.022592052817344666,0.7039108872413635,-0.7741285488009453,-0.7738859802484512,-0.7839341312646866,-0.783864188939333,0.8188351988792419
A1_causal,1.0,,10,2.0,5,2 0.7825805 0.26474258 0.073391184 0.015237082 0.002,2,12,0.8892831206321716,0.8065261840820312,-0.002065136097371578,-0.0008091187919490039,0.06486746668815613,0.6591373682022095,0.06477881968021393,0.6591914296150208,0.0041834525763988495,0.7261350750923157,0.004214650951325893,0.7261485457420349,-0.8245043009519577,-0.8244156539440155,-0.8023115331307054,-0.8023427315056324,0.9282172918319702
A1_causal,1.0,,10,2.0,10,2 1.2708733 0.7825805 0.46481215 0.26474258 0.14354265 0.073391184 0.034946133 0.015237082 0.0059406159 0.002,2,12,0.8892831206321716,0.8065261840820312,0.0004891586722806096,0.0005291036795824766,0.06542213261127472,0.6766158938407898,0.0654083713889122,0.6766455769538879,0.00706586055457592,0.7500688433647156,0.007130999118089676,0.7500688433647156,-0.8238747492432594,-0.8238609880208969,-0.7993951849639416,-0.7994603235274553,0.9237446784973145
A1_causal,7.0,,10,0.8,3,0.8 0.1803376 0.027107146 0.002,2,12,0.8892831206321716,0.8065261840820312,-0.0005943237920291722,-0.0002940463600680232,0.09891554713249207,0.6362790465354919,0.09877180308103561,0.6363477110862732,0.029613353312015533,0.7014889121055603,0.029508773237466812,0.7016057372093201,-0.790511317551136,-0.7903675734996796,-0.7770174108445644,-0.7769128307700157,0.8580495715141296
A1_causal,7.0,,10,0.8,5,0.8 0.3401087 0.12833713 0.041349901 0.010699258 0.002,2,12,0.8892831206321716,0.8065261840820312,-0.0012317628134042025,-0.0008590411744080484,0.0937136560678482,0.6383147239685059,0.09368350356817245,0.6383121609687805,0.018121743574738503,0.7086948752403259,0.01810368336737156,0.7087258696556091,-0.7955996170639992,-0.7955694645643234,-0.7884225007146597,-0.7884044405072927,0.9112732410430908
A1_causal,7.0,,10,0.8,10,0.8 0.52847472 0.3401087 0.2124934 0.12833713 0.074533362 0.041349901 0.021730302 0.010699258 0.0048635222 0.002,2,12,0.8892831206321716,0.8065261840820312,-8.475698996335268e-05,0.00033487830660305917,0.08640334010124207,0.6447253227233887,0.08636100590229034,0.6446933150291443,0.017349902540445328,0.7128245234489441,0.017276166006922722,0.7128402590751648,-0.8029221147298813,-0.8028797805309296,-0.7892500180751085,-0.7891762815415859,0.9104065895080566
A1_causal,7.0,,10,1.0,3,1 0.21688892 0.030609557 0.002,2,12,0.8892831206321716,0.8065261840820312,-0.00013144168769940734,-0.0007289781933650374,0.081868477165699,0.6522900462150574,0.08175133913755417,0.6523651480674744,0.014060198329389095,0.7129653096199036,0.014042217284440994,0.7130674123764038,-0.8075317814946175,-0.8074146434664726,-0.7924839667975903,-0.7924659857526422,0.8554365634918213
A1_causal,7.0,,10,1.0,5,1 0.41625082 0.15280411 0.047427303 0.011630898 0.002,2,12,0.8892831206321716,0.8065261840820312,-0.0005447617149911821,-0.0009466313640587032,0.11042089760303497,0.6386833786964417,0.1103590726852417,0.6387006640434265,0.01614387519657612,0.716587483882904,0.01611456461250782,0.71663498878479,-0.7789240479469299,-0.7788622230291367,-0.7904116194695234,-0.7903823088854551,0.9103612303733826
A1_causal,7.0,,10,1.0,10,1 0.65408052 0.41625082 0.25675965 0.15280411 0.087233805 0.047427303 0.02432853 0.011630898 0.005096774 0.002,2,12,0.8892831206321716,0.8065261840820312,0.0035335184074938297,0.0005870602326467633,0.12705504894256592,0.6375287175178528,0.12699590623378754,0.637513279914856,0.02531087026000023,0.7201182842254639,0.02524246834218502,0.7201375365257263,-0.7622872143983841,-0.7622280716896057,-0.7812837157398462,-0.781215313822031,0.9094696640968323
A1_causal,7.0,,10,2.0,3,2 0.38721939 0.045149488 0.002,2,12,0.8892831206321716,0.8065261840820312,0.0005589271895587444,-0.00012301730748731643,0.09767194092273712,0.6794565916061401,0.09757884591817856,0.6796207427978516,0.013759509660303593,0.7678340077400208,0.013871237635612488,0.7680058479309082,-0.7917042747139931,-0.7916111797094345,-0.7926549464464188,-0.7927666744217277,0.807401180267334
A1_causal,7.0,,10,2.0,5,2 0.7825805 0.26474258 0.073391184 0.015237082 0.002,2,12,0.8892831206321716,0.8065261840820312,0.0013243217254057527,0.00011558117694221437,0.1239730641245842,0.6643799543380737,0.1238686591386795,0.6643833518028259,0.020873533561825752,0.7599800229072571,0.020871547982096672,0.7599868178367615,-0.7654144614934921,-0.7653100565075874,-0.7856546360999346,-0.7856526505202055,0.9005279541015625
A1_causal,7.0,,10,2.0,10,2 1.2708733 0.7825805 0.46481215 0.26474258 0.14354265 0.073391184 0.034946133 0.015237082 0.0059406159 0.002,2,12,0.8892831206321716,0.8065261840820312,0.0001639961265027523,0.0003178707556799054,0.15256944298744202,0.6619523763656616,0.1524684727191925,0.6619795560836792,0.025030557066202164,0.7666745781898499,0.025029635056853294,0.7666779160499573,-0.7368146479129791,-0.7367136776447296,-0.781496549025178,-0.7814956270158291,0.8995842933654785
